crew_id,worker_id,role,status,joined_at,left_at
RAVI01,W005,leader,active,2023-05-01,
RAVI01,W001,member,active,2024-06-24,
RAVI01,W006,member,active,2025-02-19,
RAVI01,W007,member,active,2025-06-19,
RAVI01,W008,member,active,2025-09-17,
RAVI01,W009,member,active,2025-12-16,
RAVI01,W004,member,active,2024-12-21,
M001,W002,leader,active,2024-10-22,
M001,W010,member,active,2025-08-18,
M001,W011,member,active,2025-11-16,
C003,W020,leader,active,2024-08-23,
C003,W028,member,active,2025-08-18,
C003,W015,member,active,2025-10-17,
C004,W017,leader,active,2024-12-21,
C004,W026,member,active,2026-01-15,
C004,W032,member,active,2024-12-21,
C004,W021,member,active,2025-10-17,
C005,W025,leader,active,2024-08-23,
C005,W018,member,active,2024-12-21,
C005,W019,member,active,2025-12-16,
C003,W029,member,left,2025-08-18,2026-06-14
